epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.452,1.10255,2.92799,1.67524,0.00691,1,0.995,0.68211,0.52396,3.56868,1.21625,0.00020004,0.00020004,0.00020004
2,183.095,0.95218,2.08311,1.59301,0.00853,1,0.995,0.52317,1.57206,3.573,2.40146,0.000412624,0.000412624,0.000412624
3,272.589,0.99656,1.93219,1.57831,0.07445,1,0.4975,0.26302,1.53986,3.33602,3.02506,0.000620917,0.000620917,0.000620917
4,363.577,1.0154,1.80898,1.58972,1,0.93467,0.995,0.646,1.22913,2.70111,2.48749,0.00082492,0.00082492,0.00082492
5,448.143,0.99828,1.73099,1.58398,1,0.93583,0.995,0.47348,1.34664,4.07086,3.75221,0.00102463,0.00102463,0.00102463
6,515.898,1.08376,1.71299,1.60714,0.97114,1,0.995,0.68783,1.00954,1.85384,2.53089,0.00122005,0.00122005,0.00122005
7,582.28,1.04976,1.68951,1.60821,0.48609,0.75,0.53833,0.14435,2.6303,2.88988,3.69676,0.00141118,0.00141118,0.00141118
8,649.143,1.0875,1.67349,1.64784,0.17066,0.25,0.27833,0.05917,3.5862,10.7187,6.20736,0.00155148,0.00155148,0.00155148
9,715.551,1.00728,1.53612,1.57726,0.49514,0.49271,0.31753,0.14734,1.85201,2.96296,2.73339,0.00153497,0.00153497,0.00153497
10,782.966,1.04493,1.55086,1.56276,0.21157,1,0.31158,0.13629,2.43327,4.19249,3.76984,0.00151847,0.00151847,0.00151847
11,845.174,1.02826,1.46056,1.58906,0.91989,0.75,0.82192,0.2673,2.03984,4.60077,3.63765,0.00150197,0.00150197,0.00150197
12,907.891,1.09491,1.45271,1.63461,0.98483,1,0.995,0.37062,2.17529,2.82751,3.87508,0.00148546,0.00148546,0.00148546
13,971.602,1.03414,1.43003,1.57391,0.98564,1,0.995,0.40363,2.09441,2.34801,3.25758,0.00146896,0.00146896,0.00146896
14,1035.65,0.97197,1.37498,1.56571,0.77797,1,0.895,0.32359,2.2494,2.25156,2.94543,0.00145246,0.00145246,0.00145246
15,1099.41,1.01631,1.40247,1.5555,0.78629,1,0.945,0.29486,2.05427,1.8004,3.17708,0.00143595,0.00143595,0.00143595
16,1163.12,1.01621,1.30837,1.57992,0.9879,1,0.995,0.46942,1.89598,1.98568,3.62937,0.00141945,0.00141945,0.00141945
17,1226.23,1.01666,1.31298,1.57659,0.99691,1,0.995,0.52871,1.58077,1.19519,2.99497,0.00140295,0.00140295,0.00140295
18,1289.9,0.97938,1.23992,1.50137,0.9989,1,0.995,0.555,1.37374,1.22139,2.71802,0.00138644,0.00138644,0.00138644
19,1357.53,0.98482,1.29746,1.5345,0.98274,1,0.995,0.59225,1.30744,1.22977,2.7705,0.00136994,0.00136994,0.00136994
20,1426.05,0.93561,1.21818,1.5033,0.98139,1,0.995,0.5615,1.60425,1.18336,2.7441,0.00135344,0.00135344,0.00135344
21,1493.3,0.86946,1.06958,1.4477,0.97996,1,0.995,0.57467,1.79943,1.25561,3.23034,0.00133693,0.00133693,0.00133693
22,1560.2,0.91238,1.12776,1.48782,0.98672,1,0.995,0.5215,1.79434,0.90391,4.08567,0.00132043,0.00132043,0.00132043
23,1626.46,0.87279,1.10353,1.49242,0.98176,1,0.995,0.62967,1.36909,1.00709,2.60595,0.00130393,0.00130393,0.00130393
24,1690.26,0.92989,1.13858,1.46644,0.98459,1,0.995,0.49946,1.34599,1.6113,2.27259,0.00128742,0.00128742,0.00128742
25,1753.06,0.95222,1.16407,1.51052,0.78786,1,0.945,0.28994,1.75276,2.38627,2.20709,0.00127092,0.00127092,0.00127092
26,1816.05,0.85447,1.11178,1.44292,0.92824,0.75,0.91167,0.43671,1.62443,1.87725,2.14528,0.00125442,0.00125442,0.00125442
